Timestamp,How would you describe your current role?,How would you categorise the size of your company,"Is your industry highly regulated (ex. Telco, Insurance, Medical etc.)?",Select all the important challenges faced by your DevOps/Engineering teams?,Select all the important features/functions you would expect from a DevOps Copilot.,Are you planning to introduce generative AI tools to help your DevOps/Engineering teams?,What are the biggest concerns regarding DevOps Copilots?,"Assume, a DevOps Copilot increases the productivity of a DevOps engineer in your team by 30% on average. What would be the price you are willing to pay, on a monthly subscription basis per engineer? Please indicate the currency (ex. X EUR or Y INR)","Thanks for completing the survey!

1. Add your prolific ID in the answer option below.

2. Click on the link below to let Prolific know that you have completed the survey.

https://app.prolific.co/submissions/complete?cc=C1AWVT86

"
13/07/2023 13:15:26,Engineer,Small or Mid size company,no,"Engineers have to learn multiple tools to perform their job (Toolchain complexity), DevOps competence is hard to develop, and only a few can perform this role in our teams, Engineers spend a lot of time responding to failures, and in troubleshooting","Integration with existing tools and interact with them using natural language, Provide contextualised answers using data from internal knowledge systems, Automatic generation and execution of DevOps workflows, Helps Engineers detect, troubleshoot and resolve errors, failures",Maybe,I'm afraid our proprietary systems and data might be exposed due to AI usage,500 INR,
13/07/2023 13:46:50,Engineer,Enterprise,yes,"Engineers have to learn multiple tools to perform their job (Toolchain complexity), There is ineffective knowledge sharing/retrieval between team members, Engineers waste time in performing mundane, repetitive tasks, DevOps competence is hard to develop, and only a few can perform this role in our teams, Building secure infrastructure, applications, services, Engineers spend a lot of time responding to failures, and in troubleshooting","Integration with existing tools and interact with them using natural language, Provide contextualised answers using data from internal knowledge systems, Automatic generation and execution of DevOps workflows, Helps Engineers detect, troubleshoot and resolve errors, failures",Maybe,There are concerns but I think AI must be leveraged with due guardrails for safety,15 EUR,
13/07/2023 16:40:24,C Level,Startup,yes,"Engineers have to learn multiple tools to perform their job (Toolchain complexity), DevOps competence is hard to develop, and only a few can perform this role in our teams","Integration with existing tools and interact with them using natural language, Automatic generation and execution of DevOps workflows",Maybe,Not sure if the copilot would generate optimised infra - what if my AWS bills sky rocket ?,10 USD,
13/07/2023 17:46:39,Engineering Lead/Manager,Enterprise,no,"Engineers have to learn multiple tools to perform their job (Toolchain complexity), There is ineffective knowledge sharing/retrieval between team members, Engineers waste time in performing mundane, repetitive tasks, DevOps competence is hard to develop, and only a few can perform this role in our teams, Building secure infrastructure, applications, services, Engineers spend a lot of time responding to failures, and in troubleshooting","Integration with existing tools and interact with them using natural language, Provide contextualised answers using data from internal knowledge systems, Automatic generation and execution of DevOps workflows, Helps Engineers detect, troubleshoot and resolve errors, failures",Yes,I'm afraid our proprietary systems and data might be exposed due to AI usage,10 EUR,
13/07/2023 20:15:04,Engineer,Enterprise,yes,"Engineers have to learn multiple tools to perform their job (Toolchain complexity), There is ineffective knowledge sharing/retrieval between team members, Engineers waste time in performing mundane, repetitive tasks, DevOps competence is hard to develop, and only a few can perform this role in our teams, Building secure infrastructure, applications, services, Engineers spend a lot of time responding to failures, and in troubleshooting","Integration with existing tools and interact with them using natural language, Automatic generation and execution of DevOps workflows, Helps Engineers detect, troubleshoot and resolve errors, failures",Maybe,There are concerns but I think AI must be leveraged with due guardrails for safety,20 EUR,
13/07/2023 20:42:30,Engineering Lead/Manager,Enterprise,yes,"Engineers have to learn multiple tools to perform their job (Toolchain complexity), Engineers spend a lot of time responding to failures, and in troubleshooting","Integration with existing tools and interact with them using natural language, Helps Engineers detect, troubleshoot and resolve errors, failures",Maybe,There are concerns but I think AI must be leveraged with due guardrails for safety,NA,
14/07/2023 00:45:09,Data Scientist ,Startup,yes,"Engineers have to learn multiple tools to perform their job (Toolchain complexity), There is ineffective knowledge sharing/retrieval between team members, DevOps competence is hard to develop, and only a few can perform this role in our teams, Building secure infrastructure, applications, services","Integration with existing tools and interact with them using natural language, Provide contextualised answers using data from internal knowledge systems",Yes,I'm afraid our proprietary systems and data might be exposed due to AI usage,300 EUR,
17/07/2023 13:15:35,Engineering Lead/Manager,Enterprise,yes,"Engineers have to learn multiple tools to perform their job (Toolchain complexity), Engineers waste time in performing mundane, repetitive tasks, Engineers spend a lot of time responding to failures, and in troubleshooting","Integration with existing tools and interact with them using natural language, Helps Engineers detect, troubleshoot and resolve errors, failures",Maybe,There are concerns but I think AI must be leveraged with due guardrails for safety,NA,
17/07/2023 15:48:56,Engineer,Public Institute,no,"Engineers have to learn multiple tools to perform their job (Toolchain complexity), There is ineffective knowledge sharing/retrieval between team members, Engineers waste time in performing mundane, repetitive tasks, Building secure infrastructure, applications, services, Engineers spend a lot of time responding to failures, and in troubleshooting","Integration with existing tools and interact with them using natural language, Provide contextualised answers using data from internal knowledge systems, Automatic generation and execution of DevOps workflows, Helps Engineers detect, troubleshoot and resolve errors, failures",Yes,I'm afraid our proprietary systems and data might be exposed due to AI usage,100 EUR,
19/07/2023 22:23:45,Solutions Architecht,Enterprise,yes,"Building secure infrastructure, applications, services",Integration with existing tools and interact with them using natural language,Maybe,I'm afraid our proprietary systems and data might be exposed due to AI usage,NA,
